COUNTRY,MOU SIGNATORY,"MOU Signatory '?' or 'n'
child of a MOU parent ?
  - NO = not child
  - CHILD OF XXX",Organization,ROR Organization Name,ROR ID,IDENTIFY PARENT ROR or 'NEW',GBIF PUBLISHER NAME,GBIF PUBLISHER ID,ADDITIONAL GBIF PUBLISHER IDs,CHECKED,COMMENTS,totalRecords,preservedSpecimen,fossilSpecimen,unknown,livingSpecimen,materialSample,humanObservation,observation,machineObservation ,literature
France,y,,Centre de coopération internationale en recherche agronomique pour le développement,Centre de Coopération Internationale en Recherche Agronomique pour le Développement,05kpkpg04,,RECOLNAT,02fce6f4-8dcd-4eaf-afe9-28ba30822751,,FALSE,,239483,239483,0,0,0,0,0,0,0,0
France,n,,French Agricultural Research Centre for International Development,,,,CIRAD SELMET,48adce57-6a8c-49a0-ba35-1adeafc19839,,FALSE,,342698,0,0,0,0,0,342698,0,0,0
France,n,,Centre for Biology and management of Populations,,,,"CBGP (UMR INRA, Cirad, IRD, Montpellier SupAgro)",0d3422a3-d9fa-4dac-8921-3e03afc4c0a0,,FALSE,,6812,5649,0,1163,0,0,0,0,0,0
France,y,,Centre Informatique National de l’Enseignement Supérieur,National Computer Center for Higher Education,00gnrwz95,,,,,FALSE,,,,,,,,,,,
France,y,,Nancy Museum-Aquarium,,,,,,,FALSE,,,,,,,,,,,
France,y,,Conservatoire botanique national Alpin,,,,Conservatoire Botanique National Alpin,8d8c424d-9ab0-4b82-811e-900577f93f66,,FALSE,,6238,6238,0,0,0,0,0,0,0,0
France,y,,Institut Recherche et Développement,Institut de Recherche pour le Développement,05q3vnk25,,IRD - Institute of Research for Development,3b5161b7-9831-4444-9822-a60df4df107d,,FALSE,,229546,42449,0,0,0,0,187097,0,0,0
France,y,,Sorbonne University,Sorbonne University,02en5vm52,,,,,FALSE,,,,,,,,,,,
France,y,,La Société National des Sciences Naturelles et Mathématiques de Cherbourg,,,,Société des Sciences Naturelles et Mathématiques de Cherbourg,dca4d666-c9e0-4712-b658-0d1bc3f39d48,,FALSE,,47242,47242,0,0,0,0,0,0,0,0
France,y,,Le Jardin Botanique de la Ville de Lyon,,,,,,,FALSE,,,,,,,,,,,
France,y,,Muséum d’histoire naturelle de La Rochelle,,,,,,,FALSE,,,,,,,,,,,
France,y,,Muséum d’histoire naturelle Philadelphe-Thomas de Gaillac,,,,,,,FALSE,,,,,,,,,,,
France,y,,Tela Botanica,,,,Tela Botanica,b2dbd210-90c2-11df-86a3-b8a03c50a862,,FALSE,,607399,0,0,0,0,0,607399,0,0,0
France,y,,Université Claude-Bernard Lyon 1,Claude Bernard University Lyon 1,029brtt94,,,,,FALSE,,,,,,,,,,,
France,y,,Université Clermont Auvergne,University of Clermont Auvergne,01a8ajp46,,,,,FALSE,,,,,,,,,,,
France,y,,Université de Bourgogne,University of Burgundy,03k1bsr36,,,,,FALSE,,,,,,,,,,,
France,y,,Université de Montpellier,University of Montpellier,051escj72,,"Herbarium of Université de Montpellier 2, Institut de Botanique",2853c0e7-c758-4c9c-83a2-7c2d18967fb9,,FALSE,,1317325,1317325,0,0,0,0,0,0,0,0
France,y,,Université de Rennes 1,University of Rennes 1,015m7wh34,,Geosciences Rennes UMR 6118 Université Rennes 1,6a3befbc-cc8a-4be0-92ee-d4872b1dfd7c,,FALSE,,55484,0,55484,0,0,0,0,0,0,0
France,?,,"Biological Field Station of Paimpont, University Rennes 1",,,,"Biological Field Station of Paimpont, University Rennes 1",957ac1e0-0765-4004-bc68-20f3534211b2,,FALSE,,6087,128,0,0,0,0,5955,0,4,0
France,y,,Université de Strasbourg,University of Strasbourg,00pg6eq24,,Université de Strasbourg,a6de8f30-d931-11db-973c-b8a03c50a862,,FALSE,,74734,74734,0,0,0,0,0,0,0,0
France,y,,Université de Toulouse III-Paul Sabatier,Paul Sabatier University,02v6kpv12,,,,,FALSE,,,,,,,,,,,
France,y,,Université Lille 1 – Sciences et technologies,University of Lille,02kzqn938,,,,,FALSE,,,,,,,,,,,
France,y,,Muséum d’histoire naturelle de Dijon,,,,,,,FALSE,,,,,,,,,,,
France,y,,Muséum d’histoire naturelle de Marseille,,,,,,,FALSE,,,,,,,,,,,
France,y,,Muséum d’histoire naturelle de Toulouse,,,,,,,FALSE,,,,,,,,,,,
France,y,,Musée d’histoire naturelle de Lille,,,,,,,FALSE,,,,,,,,,,,
France,y,,Université Aix-Marseille,,,,,,,FALSE,,,,,,,,,,,
France,y,,Université de Grenoble,,,,,,,FALSE,,,,,,,,,,,
France,y,,Université de Lorraine,,,,,,,FALSE,,,,,,,,,,,
Germany,y,,Bavarian Natural History Collections,Bavarian Natural History Collections,05th1v540,,Staatliche Naturwissenschaftliche Sammlungen Bayerns,0674aea0-a7e1-11d8-9534-b8a03c50a862,,FALSE,,7178392,43326,0,0,67,0,7134999,0,0,0
Germany,y,,Berlin Natural History Museum,Museum für Naturkunde,052d1a351,,Museum für Naturkunde Berlin,10980920-6dad-11da-ad13-b8a03c50a862,,FALSE,,604022,51828,500808,25496,0,0,25890,0,0,0
Germany,y,,Botanic Garden and Botanical Museum Berlin,Botanischer Garten und Botanisches Museum Berlin,00bv4cx53,,Botanic Garden and Botanical Museum Berlin,57254bd0-8256-11d8-b7ed-b8a03c50a862,,TRUE,"We requested an englisch primary institution name as well as a german version as ""other"" name.",75238,73882,0,8,0,0,1348,0,0,0
Germany,y,,Senckenberg Society for Nature Research,Senckenberg Nature Research Society,00xmqmx64,,Senckenberg,c76cf030-2a95-11da-9cc1-b8a03c50a862,,FALSE,,178707,43567,7597,0,0,0,127543,0,0,0
Germany,y,,Zoological Research Museum Alexander Koenig,Zoological Research Museum Alexander Koenig,00wz4b049,,Zoologisches Forschungsinstitut und Museum Alexander Koenig,6e1cad80-bdf5-11d8-84ea-b8a03c50a862,,FALSE,,247882,79919,0,0,0,0,0,167963,0,0
Germany,y,,Stuttgart State Museum of Natural History,Staatliches Museum für Naturkunde Stuttgart,05k35b119,,Staatliches Museum für Naturkunde Stuttgart,99ea0c90-61e5-11dc-a64c-b8a03c50a862,,FALSE,,,,,,,,,,,
Germany,y,,NORe. CeNaK - Centre of Natural History - University of Hamburg,Universität Hamburg,00g30e956,,Herbarium Hamburgense,f739aef0-8a5b-11d9-bc8d-b8a03c50a862,,FALSE,,40531,38536,0,1995,0,0,0,0,0,0
Germany,n,,NORe. German Oceanographic Museum Stralsund,German Oceanographic Museum,05hkycn11,,,,,FALSE,,,,,,,,,,,
Germany,n,,NORe. Müritzeum,,,,,,,FALSE,,,,,,,,,,,
Germany,n,,NORe. Museum of Nature and Environment Lübeck,,,,,,,FALSE,,,,,,,,,,,
Germany,n,,NORe. Natural History Museum Namu Bielefeld,,,,,,,FALSE,,,,,,,,,,,
Germany,n,,NORe. State Museum Nature and Man Oldenburg,,,,,,,FALSE,,,,,,,,,,,
Germany,n,,NORe. State Museum of Natural History Braunschweig,Staatliches Naturhistorisches Museum,03ae9x524,,,,,FALSE,,,,,,,,,,,
Germany,n,,NORe. Übersee – Museum of Bremen,Overseas Museum,00cx3rx26,,,,,FALSE,,,,,,,,,,,
Germany,n,,NORe. Zoological Collection of the University of Rostock,University of Rostock,03zdwsf69,,,,,FALSE,,,,,,,,,,,
Germany,n,,NORe. Zoological Institute and Museum Greifswald,,,,,,,FALSE,,,,,,,,,,,
Germany,n,,NORe. Zoological Museum Kiel,,,,,,,FALSE,,,,,,,,,,,
Greece,y,,Natural History Museum of Crete,University of Crete,00dr28g20,,,,,FALSE,,,,,,,,,,,
Greece,y,,"Mineralogy and Petrology Museum, National and Kapodistrian University of Athens",National and Kapodistrian University of Athens,04gnjpq42,,,,,FALSE,,,,,,,,,,,
Greece,y,,"Museum of Geology and Palaeontology, National and Kapodistrian University of Athens",National and Kapodistrian University of Athens,04gnjpq42,,,,,FALSE,,,,,,,,,,,
Greece,y,,"Museum of Zoology, National and Kapodistrian University of Athens",National and Kapodistrian University of Athens,04gnjpq42,,,,,FALSE,,,,,,,,,,,
Greece,y,,"Botanical Museum, National and Kapodistrian University of Athens",National and Kapodistrian University of Athens,04gnjpq42,,,,,FALSE,,,,,,,,,,,
